month,bank_total,stock_total,forex_total,credit_card,total_assets,net_worth,asset_change,growth_rate,salary,dividend,other_income
2025-01,320000.0,420000.0,80000.0,28000.0,820000.0,792000.0,,,52000.0,0.0,0.0
2025-02,335000.0,438000.0,82000.0,26000.0,855000.0,829000.0,37000.0,4.671717171717171,52000.0,1200.0,0.0
2025-03,350000.0,455000.0,85000.0,31000.0,890000.0,859000.0,30000.0,3.6188178528347326,52000.0,1800.0,5000.0
2025-04,365000.0,472000.0,83000.0,29000.0,920000.0,891000.0,32000.0,3.7252619324796177,52000.0,0.0,0.0
2025-05,380000.0,490000.0,86000.0,30000.0,956000.0,926000.0,35000.0,3.9281705948372547,52000.0,2500.0,0.0
2025-06,395000.0,515000.0,88000.0,34000.0,998000.0,964000.0,38000.0,4.10367170626349,52000.0,4200.0,0.0
2025-07,410000.0,500000.0,90000.0,30000.0,1000000.0,970000.0,6000.0,0.6224066390041472,52000.0,1800.0,0.0
2025-08,425000.0,460000.0,92000.0,32000.0,977000.0,945000.0,-25000.0,-2.577319587628868,52000.0,0.0,0.0
2025-09,438000.0,445000.0,94000.0,30000.0,977000.0,947000.0,2000.0,0.2116402116402183,52000.0,2200.0,0.0
2025-10,450000.0,475000.0,96000.0,33000.0,1021000.0,988000.0,41000.0,4.329461457233363,52000.0,0.0,0.0
2025-11,465000.0,510000.0,98000.0,35000.0,1073000.0,1038000.0,50000.0,5.06072874493928,52000.0,3200.0,0.0
2025-12,515000.0,545000.0,100000.0,42000.0,1160000.0,1118000.0,80000.0,7.707129094412335,52000.0,4800.0,60000.0
2026-01,525000.0,575000.0,102000.0,30000.0,1202000.0,1172000.0,54000.0,4.830053667262968,56000.0,0.0,0.0
2026-02,535000.0,605000.0,104000.0,32000.0,1244000.0,1212000.0,40000.0,3.412969283276457,56000.0,1500.0,0.0
2026-03,545000.0,635000.0,106000.0,34000.0,1286000.0,1252000.0,40000.0,3.300330033003296,56000.0,2300.0,8000.0
2026-04,550000.0,670000.0,108000.0,33000.0,1328000.0,1295000.0,43000.0,3.4345047923322714,56000.0,0.0,0.0
2026-05,555000.0,710000.0,110000.0,35000.0,1375000.0,1340000.0,45000.0,3.474903474903468,56000.0,3200.0,0.0
2026-06,560000.0,750000.0,112000.0,36000.0,1422000.0,1386000.0,46000.0,3.43283582089553,56000.0,6000.0,0.0
2026-07,565000.0,790000.0,114000.0,34000.0,1469000.0,1435000.0,49000.0,3.535353535353525,56000.0,2600.0,0.0
2026-08,570000.0,825000.0,116000.0,38000.0,1511000.0,1473000.0,38000.0,2.648083623693376,56000.0,0.0,0.0
2026-09,575000.0,860000.0,118000.0,36000.0,1553000.0,1517000.0,44000.0,2.9871011541072745,56000.0,3500.0,0.0
2026-10,580000.0,900000.0,120000.0,39000.0,1600000.0,1561000.0,44000.0,2.9004614370468085,56000.0,0.0,0.0
2026-11,585000.0,940000.0,122000.0,40000.0,1647000.0,1607000.0,46000.0,2.9468289557975647,56000.0,4200.0,0.0
2026-12,635000.0,990000.0,125000.0,48000.0,1750000.0,1702000.0,95000.0,5.9116365899191115,56000.0,7500.0,70000.0
2027-01,650000.0,1020000.0,128000.0,40000.0,1798000.0,1758000.0,56000.0,3.290246768507643,56000.0,0.0,0.0
